capitalCity,longitude,latitude,name,Year,Country,Country_url,Region Code,Region,Overall Rank,Happiness Score,GDP per capita,Family,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Happiness Status
Oranjestad,-70.0167,12.5167,Aruba,,,,,,,,,,,,,,,
,,,Africa Eastern and Southern,,,,,,,,,,,,,,,
Kabul,69.1761,34.5228,Afghanistan,2016.0,Afghanistan,,0.0,,79.0,3.36,0.38227,0.11037,0.0,0.17344,0.1643,0.31268,0.07112,Amber
Kabul,69.1761,34.5228,Afghanistan,2017.0,Afghanistan,,0.0,,235.0,3.79399991,0.401477218,0.581543326,0.0,0.180746779,0.10617952,0.311870933,0.06115783,Amber
Kabul,69.1761,34.5228,Afghanistan,2018.0,Afghanistan,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Rwanda.svg,2.0,AFRICA,390.0,3.632,0.332,0.0,0.537,0.255,0.085,0.191,0.036,Amber
Kabul,69.1761,34.5228,Afghanistan,2019.0,Afghanistan,,0.0,,546.0,3.203,0.35,0.0,0.517,0.361,0.0,0.158,0.025,Amber
,,,Africa,,,,,,,,,,,,,,,
,,,Africa Western and Central,,,,,,,,,,,,,,,
Luanda,13.242,-8.81155,Angola,2016.0,Angola,,0.0,,79.0,3.866,0.84731,0.66366,0.0,0.04991,0.00589,0.12071,0.08434,Amber
Luanda,13.242,-8.81155,Angola,2017.0,Angola,,0.0,,235.0,3.795000076,0.85842818,1.10441196,0.0,0.049868666,0.0,0.09792649,0.069720335,Amber
Luanda,13.242,-8.81155,Angola,2018.0,Angola,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg,142.0,ASIA,390.0,3.795,0.73,0.0,1.125,0.269,0.0,0.079,0.061,Amber
Tirane,19.8172,41.3317,Albania,2016.0,Albania,,0.0,,79.0,4.655,0.9553,0.50163,0.0,0.73007,0.31866,0.1684,0.05301,Amber
Tirane,19.8172,41.3317,Albania,2017.0,Albania,,142.0,ASIA,235.0,4.644000053,0.996192753,0.803685248,0.0,0.731159747,0.381498635,0.201312944,0.039864216,Amber
Tirane,19.8172,41.3317,Albania,2018.0,Albania,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg,2.0,AFRICA,390.0,4.586,0.916,0.0,0.817,0.79,0.419,0.149,0.032,Amber
Tirane,19.8172,41.3317,Albania,2019.0,Albania,,0.0,,546.0,4.719,0.947,0.0,0.848,0.874,0.383,0.178,0.027,Amber
Andorra la Vella,1.5218,42.5075,Andorra,,,,,,,,,,,,,,,
,,,Arab World,,,,,,,,,,,,,,,
Abu Dhabi,54.3705,24.4764,United Arab Emirates,2016.0,United Arab Emirates,,0.0,,79.0,6.573,1.57352,0.87114,0.0,0.72993,0.56215,0.26591,0.35561,Green
Abu Dhabi,54.3705,24.4764,United Arab Emirates,2017.0,United Arab Emirates,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg,19.0,AMERICAS,235.0,6.647999763,1.626343369,1.266410232,0.0,0.726798236,0.60834527,0.360941947,0.324489564,Green
Abu Dhabi,54.3705,24.4764,United Arab Emirates,2018.0,United Arab Emirates,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,142.0,ASIA,390.0,6.774,2.096,0.0,0.776,0.67,0.284,0.186,,Green
Abu Dhabi,54.3705,24.4764,United Arab Emirates,2019.0,United Arab Emirates,,0.0,,546.0,6.825,1.503,0.0,1.31,0.825,0.598,0.262,0.182,Green
Buenos Aires,-58.4173,-34.6118,Argentina,2016.0,Argentina,,0.0,,79.0,6.65,1.15137,1.06612,0.0,0.69711,0.42284,0.10989,0.07296,Green
Buenos Aires,-58.4173,-34.6118,Argentina,2017.0,Argentina,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Turkmenistan.svg,142.0,ASIA,235.0,6.598999977,1.185295463,1.440451145,0.0,0.695137084,0.494519204,0.109457061,0.059739888,Green
Buenos Aires,-58.4173,-34.6118,Argentina,2018.0,Argentina,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,142.0,ASIA,390.0,6.388,1.073,0.0,1.468,0.744,0.57,0.062,0.054,Green
Buenos Aires,-58.4173,-34.6118,Argentina,2019.0,Argentina,,0.0,,546.0,6.086,1.092,0.0,1.432,0.881,0.471,0.066,0.05,Green
Yerevan,44.509,40.1596,Armenia,2016.0,Armenia,,0.0,,79.0,4.36,0.86086,0.62477,0.0,0.64083,0.14037,0.07793,0.03616,Amber
Yerevan,44.509,40.1596,Armenia,2017.0,Armenia,,0.0,,235.0,4.375999928,0.900596738,1.007483721,0.0,0.637524426,0.198303267,0.083488092,0.026674422,Amber
Yerevan,44.509,40.1596,Armenia,2018.0,Armenia,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg,2.0,AFRICA,390.0,4.321,0.816,0.0,0.99,0.666,0.26,0.077,0.028,Amber
Yerevan,44.509,40.1596,Armenia,2019.0,Armenia,,0.0,,546.0,4.559,0.85,0.0,1.055,0.815,0.283,0.095,0.064,Amber
Pago Pago,-170.691,-14.2846,American Samoa,,,,,,,,,,,,,,,
Saint John's,-61.8456,17.1175,Antigua and Barbuda,,,,,,,,,,,,,,,
Canberra,149.129,-35.282,Australia,2016.0,Australia,,0.0,,79.0,7.313,1.44443,1.10476,0.0,0.8512,0.56837,0.47407,0.32331,Green
Canberra,149.129,-35.282,Australia,2017.0,Australia,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Sudan.svg,2.0,AFRICA,235.0,7.28399992,1.484414935,1.510041952,0.0,0.843886793,0.601607382,0.47769925,0.30118373,Green
Canberra,149.129,-35.282,Australia,2018.0,Australia,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,150.0,EUROPE,390.0,7.272,1.34,0.0,1.573,0.91,0.647,0.361,0.302,Green
Canberra,149.129,-35.282,Australia,2019.0,Australia,,0.0,,546.0,7.228,1.372,0.0,1.548,1.036,0.557,0.332,0.29,Green
Vienna,16.3798,48.2201,Austria,2016.0,Austria,,0.0,,79.0,7.119,1.45038,1.08383,0.0,0.80565,0.54355,0.32865,0.21348,Green
Vienna,16.3798,48.2201,Austria,2017.0,Austria,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,150.0,EUROPE,235.0,7.006000042,1.487097263,1.459944963,0.0,0.815328419,0.56776619,0.316472322,0.221060365,Green
